Time;Year;Country Name;Country Code;Population, total [SP.POP.TOTL];CO2 emissions (kt) [EN.ATM.CO2E.KT];Methane emissions (kt of CO2 equivalent) [EN.ATM.METH.KT.CE];Nitrous oxide emissions (thousand metric tons of CO2 equivalent) [EN.ATM.NOXE.KT.CE];Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent) [EN.ATM.GHGO.KT.CE];Electric power consumption (kWh per capita) [EG.USE.ELEC.KH.PC];Fossil fuel energy consumption (% of total) [EG.USE.COMM.FO.ZS];Renewable energy consumption (% of total final energy consumption) [EG.FEC.RNEW.ZS];Energy imports, net (% of energy use) [EG.IMP.CONS.ZS];Electricity production from renewable sources, excluding hydroelectric (% of total) [EG.ELC.RNWX.ZS];Electricity production from oil, gas and coal sources (% of total) [EG.ELC.FOSL.ZS];Electricity production from nuclear sources (% of total) [EG.ELC.NUCL.ZS];Electricity production from hydroelectric sources (% of total) [EG.ELC.HYRO.ZS];Renewable electricity output (% of total electricity output) [EG.ELC.RNEW.ZS];Adjusted net national income per capita (constant 2015 US$) [NY.ADJ.NNTY.PC.KD];Manufacturing, value added (constant 2015 US$) [NV.IND.MANF.KD];Energy use (kg of oil equivalent per capita) [EG.USE.PCAP.KG.OE];Alternative and nuclear energy (% of total energy use) [EG.USE.COMM.CL.ZS]
1977;1977;Sweden;SWE;8251540;;;;1692,118574;9828,347193;68,79456932;;68,40646967;0,400048895;18,02553645;22,12826012;59,44615453;;24692,87148;;5054,833764;23,47154098
1977;1977;Switzerland;CHE;6281174;;;;1550,115967;5324,959952;75,03131515;;70,24370768;0;4,395293092;17,68141207;77,92329484;;;;2877,792909;28,71130528
1977;1977;Japan;JPN;113872000;;;;1332,606875;4444,420051;95,52269976;;90,31895232;0,05667103;80,17892933;5,980493831;13,78390581;;15156,23626;;2899,675021;4,477300547
1978;1978;Canada;CAN;23963203;;;;-78639,19859;12269,0193;81,22728546;;-5,437346401;0,330118662;21,96484761;9,099260149;68,60577358;;21125,65541;;7561,744939;15,87688787
1978;1978;United States;USA;222585000;;;;136714,6031;9560,54541;91,74380612;;21,92356163;0,15100745;74,97420613;12,64814746;12,22663896;;26051,60977;;8438,403077;5,505753926
1978;1978;United Kingdom;GBR;56196504;;;;8543,293438;4729,849387;95,14016044;;18,94591561;0;85,611006;12,99439367;1,394600331;;18206,329;;3675,435273;4,863003975
1978;1978;Italy;ITA;56155143;;;;7017,530375;2891,044192;93,49310257;;83,40551472;2,201375932;68,96354531;2,557778176;26,27730059;;17120,5499;;2247,565517;5,712777915
1978;1978;Germany;DEU;78091820;;;;23471,16406;5574,745217;95,1884251;;50,06169821;0,28238246;85,29512874;9,793648739;4,098005688;;19228,23107;;4483,880847;3,716177037
1978;1978;France;FRA;54486195;;;;13616,58203;3947,605444;87,26473417;;75,19299575;0,298481063;55,99902717;13,47940481;30,22308696;;19470,50722;1,51E+11;3382,057253;7,527915102
1978;1978;Belgium;BEL;9839534;;;;844,1381875;4623,389685;93,45493634;;82,57517243;0,514250677;74,29537768;24,74930279;0,44106885;;20443,30273;;4826,564957;6,90684896
1978;1978;Netherlands;NLD;13941700;;;;17204,91172;4251,131498;97,9066511;;-7,601432292;1,966036756;91,44262614;6,5913371;0;;22725,17502;40576760377;4662,605278;1,627669863
1978;1978;Sweden;SWE;8275599;;;;1676,524777;10143,43493;64,37363313;;64,14992466;0,297144826;11,92239783;25,60290255;62,1775548;;24910,15677;;5016,74042;26,89104909
1978;1978;Switzerland;CHE;6281738;;;;1692,671323;5520,44673;74,19336681;;71,72771254;0,231952663;4,437869822;19,86982249;75,46035503;;;;2995,016825;26,2021012
1978;1978;Japan;JPN;114913000;;;;4638,69;4669,497794;93,39450472;;89,13971261;0,107570835;76,70015705;10,63391493;12,55835718;;16091,42531;;2897,960483;6,605494381
1979;1979;Canada;CAN;24201544;;;;-9422,953125;12422,76113;81,42941615;;-10,43506376;0,37453705;21,82423213;9,821781627;67,97944919;;20854,04321;;7862,206395;16,17114767
1979;1979;United States;USA;225055000;;;;143937,0938;9700,695386;91,80292616;;18,57410896;0,196129702;76,36641334;11,46197571;11,97548124;;25545,02958;;8327,041705;5,246081547
1979;1979;United Kingdom;GBR;56246951;;;;14941,67875;4922,915733;95,23246879;;11,09182461;0;85,75131008;12,82726984;1,421420081;;18430,30609;;3858,975965;4,767610453
1979;1979;Italy;ITA;56317749;;;;7331,574125;3040,959609;93,84406981;;84,39997526;2,136883446;70,72609344;1,468164627;25,66885849;;18141,43476;;2340,042035;5,148893015
1979;1979;Germany;DEU;78126350;;;;22863,85937;5786,127216;94,83350375;;50,23208805;0,282736599;84,08120229;11,13494577;3,930295376;;19708,14093;;4685,296728;4,140752239
1979;1979;France;FRA;54753575;;;;14515,06359;4216,564854;86,36570694;;75,07825238;0,294424645;55,47409437;16,61752658;27,6139544;;20014,73628;1,55E+11;3506,338682;8,426107539
